number,construction,installation,short,description
96-5,Общестанционный пункт управления (ОПУ),"Площадка БКПС-110/10кВ Проектирует ""Газпромпроектирование"" Нижегородский филиал", БКПС. ,УКПГ-2. БКПС. Общестанционный пункт управления (ОПУ) (поз. по ГП 96-5)
100,Установка компрессорных агрегатов,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Установка компрессорных агрегатов (поз. по ГП 100)
101,Установка охлаждения газа,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Установка охлаждения газа (поз. по ГП 101)
102,Установка подготовки газа на собственные нужды,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Установка подготовки газа на собственные нужды (поз. по ГП 102)
103,Узел подключения,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Узел подключения (поз. по ГП 103)
105,Установка очистки газа,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Установка очистки газа (поз. по ГП 105)
120,"Блочно-комплектная трансформаторная подстанция 2БКТПА 400/10/0,4 УХЛ1",ЦДКС, ЦДКС. ,"УКПГ-2. ЦДКС. Блочно-комплектная трансформаторная подстанция 2БКТПА 400/10/0,4 УХЛ1 (поз. по ГП 120)"
121,Блочно-комплектное закрытое распределительное устройство 10 кВ,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Блочно-комплектное закрытое распределительное устройство 10 кВ (поз. по ГП 121)
122,Блок-бокс дизельной электростанции АДЭС 400кВт,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Блок-бокс дизельной электростанции АДЭС 400кВт (поз. по ГП 122)
122а,Емкость подземная дренажная V=3 м3,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Емкость подземная дренажная V=3 м3 (поз. по ГП 122а)
123,Здание склада тарного хранения масла,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Здание склада тарного хранения масла (поз. по ГП 123)
125,Здание энергетического блока,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Здание энергетического блока (поз. по ГП 125)
126,"Блочно-комплектная трансформаторная подстанция АВО газа 2БКТПА 1000/10/0,4 УХЛ1",ЦДКС, ЦДКС. ,"УКПГ-2. ЦДКС. Блочно-комплектная трансформаторная подстанция АВО газа 2БКТПА 1000/10/0,4 УХЛ1 (поз. по ГП 126)"
127,Блок-бокс дизельной электростанции АДЭС 1000кВт,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Блок-бокс дизельной электростанции АДЭС 1000кВт (поз. по ГП 127)
127а,Емкость подземная дренажная V=3 м3,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Емкость подземная дренажная V=3 м3 (поз. по ГП 127а)
128,"Блочно-комплектная трансформаторная подстанция АВО газа 2БКТПА 1000/10/0,4 УХЛ1",ЦДКС, ЦДКС. ,"УКПГ-2. ЦДКС. Блочно-комплектная трансформаторная подстанция АВО газа 2БКТПА 1000/10/0,4 УХЛ1 (поз. по ГП 128)"
129,Блок-бокс дизельной электростанции АДЭС 1000кВт,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Блок-бокс дизельной электростанции АДЭС 1000кВт (поз. по ГП 129)
129а,Емкость подземная дренажная V=3 м3,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Емкость подземная дренажная V=3 м3 (поз. по ГП 129а)
130,Канализационная насосная станция промстоков,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Канализационная насосная станция промстоков (поз. по ГП 130)
133,Блок-бокс дизельной электростанции АДЭС 1000кВт,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Блок-бокс дизельной электростанции АДЭС 1000кВт (поз. по ГП 133)
134,Склад дизтоплив в составе:,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Склад дизтоплив в составе: (поз. по ГП 134)
134а,Емкости дизтоплива V=3x25 м3,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Емкости дизтоплива V=3x25 м3 (поз. по ГП 134а)
134б,Емкость подземная дренажная V =3м3,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Емкость подземная дренажная V =3м3 (поз. по ГП 134б)
134в,Узел слива АЦ,ЦДКС, ЦДКС. ,УКПГ-2. ЦДКС. Узел слива АЦ (поз. по ГП 134в)
301,Здание служебно-эксплуатационного блока,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Здание служебно-эксплуатационного блока (поз. по ГП 301)
302,Антенная опора Н=70м,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Антенная опора Н=70м (поз. по ГП 302)
304,Здание ремонтно-эксплуатационного блока,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Здание ремонтно-эксплуатационного блока (поз. по ГП 304)
305,Склад материалов и оборудования (С-150),Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Склад материалов и оборудования (С-150) (поз. по ГП 305)
307,Канализационная насосная станция бытовых стоков,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Канализационная насосная станция бытовых стоков (поз. по ГП 307)
310,Резервуар дождевых сточных вод V=900 м3,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Резервуар дождевых сточных вод V=900 м3 (поз. по ГП 310)
